"filename", "language", "Markdown", "Python", "Docker", "YAML", "Shell Script", "pip requirements", "JSON", "JavaScript", "XML", "PostCSS", "HTML", "PHP", "SCSS", "comment", "blank", "total"
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/docs/fonts/OpenSans-Italic-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1830, 0, 0, 0, 0, 0, 0, 1830
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/docs/fonts/OpenSans-Light-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1831, 0, 0, 0, 0, 0, 0, 1831
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/docs/fonts/OpenSans-LightItalic-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1835, 0, 0, 0, 0, 0, 0, 1835
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/docs/fonts/OpenSans-Regular-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1831, 0, 0, 0, 0, 0, 0, 1831
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/docs/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 36, 65
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/docs/scripts/linenumber.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 3, 26
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/docs/scripts/prettify/lang-css.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/docs/scripts/prettify/prettify.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/docs/styles/jsdoc-default.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 54, 354
"/Users/warblerforest/Projects/Software_Dev/Wisdown/Final_Submission/Wisdown/chatbox/frontend/public/editor.md/docs/styles/prettify-jsdoc.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 17, 17, 112
